0	1
0	2
0	3
1	2
1	4
1	5
1	6
1	7
1	8
1	9
1	10
1	11
1	12
1	13
1	14
1	15
2	3
2	4
2	16
2	5
2	6
2	17
2	18
2	19
2	20
2	21
2	22
2	23
2	24
2	25
2	26
2	10
2	27
2	11
2	28
2	13
2	29
2	30
2	31
2	32
2	33
2	34
2	35
2	15
2	36
2	37
2	38
3	4
3	39
3	7
3	10
3	40
3	13
3	41
4	58
4	59
4	6
4	20
4	21
4	22
4	47
4	60
4	27
4	61
4	62
4	63
4	64
4	44
5	68
5	69
5	6
5	21
5	26
5	52
5	61
5	70
5	71
5	37
6	43
6	48
6	59
6	68
6	51
6	17
6	18
6	20
6	21
6	22
6	23
6	9
6	24
6	46
6	25
6	75
6	26
6	52
6	53
6	40
6	76
6	28
6	13
6	49
6	29
6	77
6	30
6	78
6	54
6	79
6	80
6	81
6	82
6	32
6	83
6	41
6	84
6	56
6	67
6	44
6	33
6	35
6	15
6	85
6	36
7	59
7	68
7	17
7	86
7	25
7	40
7	76
7	28
7	13
7	87
7	29
7	62
8	88
8	17
8	18
8	19
8	20
8	21
8	22
8	23
9	17
9	86
9	93
9	24
9	46
9	96
9	25
9	75
9	76
9	44
9	97
10	21
10	24
10	53
10	27
10	40
11	18
11	76
11	49
11	31
12	21
12	36
13	45
13	48
13	17
13	19
13	21
13	22
13	93
13	24
13	46
13	25
13	75
13	53
13	27
13	92
13	28
13	29
13	102
13	61
13	30
13	78
13	70
13	107
13	57
15	59
15	68
15	76
15	28
15	87
15	30
15	54
16	39
16	60
16	65
16	66
16	35
16	36
17	48
17	40
17	72
17	28
18	89
19	40
19	91
19	61
19	66
19	37
20	26
20	40
20	91
20	92
20	70
20	55
20	73
20	56
20	85
20	36
20	90
21	93
21	72
21	61
21	80
21	67
21	36
22	40
22	94
22	70
22	74
22	81
22	36
23	43
23	40
23	49
23	29
23	65
23	70
23	73
23	74
23	81
23	56
23	95
23	85
24	46
24	40
24	74
24	84
24	85
24	36
24	90
25	29
25	101
26	40
26	50
26	56
27	94
27	74
27	103
28	39
28	59
28	76
28	72
28	49
28	87
28	29
28	106
28	36
29	87
29	70
29	54
29	79
29	55
29	106
30	40
30	79
30	55
31	87
31	70
31	71
31	73
31	85
32	40
32	74
32	56
35	40
35	104
36	59
36	51
36	96
36	75
36	53
36	72
36	61
36	63
36	104
36	83
36	85
36	37
37	54
37	79
37	90
39	59
40	43
40	59
40	51
40	88
40	47
40	76
40	72
40	61
40	65
40	54
40	81
40	104
40	105
40	100
42	43
42	44
43	45
43	46
43	47
44	87
44	97
44	105
45	48
45	46
45	49
45	50
46	51
46	49
46	54
46	100
47	53
47	85
48	51
48	52
48	53
48	54
48	55
48	56
48	57
49	94
50	54
51	68
51	53
51	72
51	55
51	73
51	74
51	67
52	53
52	91
52	102
52	98
52	61
52	79
52	85
53	60
54	61
54	70
54	55
54	56
55	102
55	70
55	73
55	80
56	59
56	77
56	78
57	73
57	81
57	67
57	95
59	67
60	94
61	92
61	77
61	71
61	79
62	71
62	73
62	107
64	71
65	108
65	77
67	72
68	69
69	70
70	92
70	83
71	75
72	75
72	91
72	73
73	96
73	78
73	81
73	97
74	88
74	86
74	93
74	106
74	104
74	109
74	110
77	83
77	85
79	81
81	104
83	93
83	96
86	98
86	99
88	89
88	90
89	104
91	92
93	97
95	97
96	101
97	111
100	110
